group,session,metric,mean,std,min,max,n
intervention_group_long,1,local_efficiency_mean,0.508984,0.00483,0.499626,0.52076,20
intervention_group_long,1,betweenness_mean,102.854878,9.082426,91.829268,133.0,20
intervention_group_long,1,small_worldness,0.276182,0.004978,0.265719,0.288658,20
intervention_group_long,2,density,1.0,0.0,1.0,1.0,20
intervention_group_long,2,path_length,1.841498,0.016177,1.802758,1.878271,20
intervention_group_long,2,global_efficiency,0.543076,0.004776,0.532404,0.554706,20
intervention_group_long,2,clustering_coef,0.508514,0.004857,0.499092,0.52038,20
intervention_group_long,2,transitivity,0.508514,0.004857,0.499092,0.52038,20
intervention_group_long,2,modularity,0.0,0.0,0.0,0.0,20
intervention_group_long,2,n_communities,1.0,0.0,1.0,1.0,20
intervention_group_long,2,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_group_long,2,local_efficiency_mean,0.508984,0.00483,0.499626,0.52076,20
intervention_group_long,2,betweenness_mean,102.854878,9.082426,91.829268,133.0,20
intervention_group_long,2,small_worldness,0.276182,0.004978,0.265719,0.288658,20
intervention_group_long,3,density,1.0,0.0,1.0,1.0,20
intervention_group_long,3,path_length,1.825681,0.018122,1.795658,1.857783,20
intervention_group_long,3,global_efficiency,0.547792,0.005436,0.538276,0.556899,20
intervention_group_long,3,clustering_coef,0.522155,0.006055,0.511357,0.531634,20
intervention_group_long,3,transitivity,0.522155,0.006055,0.511357,0.531634,20
intervention_group_long,3,modularity,0.0,0.0,0.0,0.0,20
intervention_group_long,3,n_communities,1.0,0.0,1.0,1.0,20
intervention_group_long,3,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_group_long,3,local_efficiency_mean,0.522347,0.006042,0.511526,0.531789,20
intervention_group_long,3,betweenness_mean,81.729268,3.793645,74.609756,87.487805,20
intervention_group_long,3,small_worldness,0.286062,0.00609,0.275251,0.295445,20
intervention_group_short,1,density,1.0,0.0,1.0,1.0,20
intervention_group_short,1,path_length,1.843072,0.012578,1.819935,1.869415,20
intervention_group_short,1,global_efficiency,0.542596,0.003697,0.534927,0.54947,20
intervention_group_short,1,clustering_coef,0.506809,0.004295,0.498916,0.515675,20
intervention_group_short,1,transitivity,0.506809,0.004295,0.498916,0.515675,20
intervention_group_short,1,modularity,0.0,0.0,0.0,0.0,20
intervention_group_short,1,n_communities,1.0,0.0,1.0,1.0,20
intervention_group_short,1,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_group_short,1,local_efficiency_mean,0.507345,0.004293,0.499546,0.516259,20
intervention_group_short,1,betweenness_mean,105.890244,5.24367,94.780488,114.073171,20
intervention_group_short,1,small_worldness,0.275006,0.004025,0.266883,0.283348,20
intervention_group_short,2,density,1.0,0.0,1.0,1.0,20
intervention_group_short,2,path_length,1.843072,0.012578,1.819935,1.869415,20
intervention_group_short,2,global_efficiency,0.542596,0.003697,0.534927,0.54947,20
intervention_group_short,2,clustering_coef,0.506809,0.004295,0.498916,0.515675,20
intervention_group_short,2,transitivity,0.506809,0.004295,0.498916,0.515675,20
intervention_group_short,2,modularity,0.0,0.0,0.0,0.0,20
intervention_group_short,2,n_communities,1.0,0.0,1.0,1.0,20
intervention_group_short,2,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_group_short,2,local_efficiency_mean,0.507345,0.004293,0.499546,0.516259,20
intervention_group_short,2,betweenness_mean,105.890244,5.24367,94.780488,114.073171,20
intervention_group_short,2,small_worldness,0.275006,0.004025,0.266883,0.283348,20
intervention_group_short,3,density,1.0,0.0,1.0,1.0,20
intervention_group_short,3,path_length,1.831826,0.021049,1.773521,1.8591,20
intervention_group_short,3,global_efficiency,0.545973,0.00635,0.537895,0.56385,20
intervention_group_short,3,clustering_coef,0.516069,0.006774,0.503797,0.532599,20
intervention_group_short,3,transitivity,0.516069,0.006774,0.503797,0.532599,20
intervention_group_short,3,modularity,0.0,0.0,0.0,0.0,20
intervention_group_short,3,n_communities,1.0,0.0,1.0,1.0,20
intervention_group_short,3,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_group_short,3,local_efficiency_mean,0.516317,0.00679,0.504077,0.532867,20
intervention_group_short,3,betweenness_mean,87.080488,5.815408,76.878049,96.073171,20
intervention_group_short,3,small_worldness,0.281798,0.006918,0.271003,0.300306,20
